Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.100.18-95.101.234.91-64405-443-17,192.168.100.18,64405,95.101.234.91,443,17,17/05/2026 10:01:51 pm,13469957,16,16,470.0,391.0,32.0,29.0,29.375,1.0246950765959602,31.0,24.0,24.4375,1.7499999999999993,63.92002587684578,2.3756571754460682,434514.7419354838,1128480.9815618508,6408733.0,44471.0,1.3309117E7,887274.4666666667,1602660.4435072448,6577881.0,66432.0,1.3300337E7,886689.1333333334,1591396.7135593216,6566417.0,93759.0,0,0,0,0,128,128,1.1878285877230341,1.1878285877230341,24.0,32.0,26.96969696969697,2.8557491189358757,8.155303030303031,0,0,0,0,0,0,0,0,1.0,27.8125,29.375,24.4375,0,0,0,404,15,138,8,235,8,195,0,0,15,8,839978.0,0.0,839978.0,839978.0,6408733.0,0.0,6408733.0,6408733.0,NeedManualLabel
134.221.96.0-0.0.0.135-0-0-0,134.221.96.0,0,0.0.0.135,0,0,17/05/2026 10:02:02 pm,780597,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,5.124283080770231,260199.0,3831.0708685692566,263707.0,256111.0,780597.0,260199.0,3831.0708685692566,263707.0,256111.0,0,0,0,0,0,0,0,0,0,0,0,5.124283080770231,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.100.18-142.250.202.234-38533-443-6,192.168.100.18,38533,142.250.202.234,443,6,17/05/2026 10:02:00 pm,40291,1,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,24.819438584299224,49.63887716859845,40291.0,0.0,40291.0,40291.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,24.819438584299224,24.819438584299224,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,2,0,0,0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,512,1032,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
134.221.96.0-0.0.0.134-0-0-0,134.221.96.0,0,0.0.0.134,0,0,17/05/2026 10:02:01 pm,779324,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,5.132653427842592,259774.66666666666,722.6287659188038,260405.0,258986.0,779324.0,259774.66666666666,722.6287659188038,260405.0,258986.0,0,0,0,0,0,0,0,0,0,0,0,5.132653427842592,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.100.18-74.125.90.74-39386-443-6,192.168.100.18,39386,74.125.90.74,443,6,17/05/2026 10:02:00 pm,39327,1,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,25.42782312406235,50.8556462481247,39327.0,0.0,39327.0,39327.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,25.42782312406235,25.42782312406235,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,2,0,0,0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,512,1047,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.100.1-239.255.255.250-56222-1900-17,192.168.100.1,56222,239.255.255.250,1900,17,17/05/2026 10:02:02 pm,1821185,4,0,530.0,0.0,133.0,132.0,132.5,0.577350269189623,0,0,0,0,291.0193088565961,2.196372142313933,607061.6666666666,600894.0619329944,1300911.0,258266.0,1821185.0,607061.6666666666,600894.0619329944,1300911.0,258266.0,0,0,0,0,0,0,0,0,0,32,0,2.196372142313933,0.0,132.0,133.0,132.4,0.5477225575051661,0.3,0,0,0,0,0,0,0,0,0.0,165.5,132.5,0.0,0,0,0,0,0,0,4,530,0,0,0,0,3,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.100.18-35.190.88.7-37024-443-6,192.168.100.18,37024,35.190.88.7,443,6,17/05/2026 10:01:54 pm,125377,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.95188910246696,125377.0,0.0,125377.0,125377.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,7.97594455123348,7.97594455123348,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,592,1043,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.100.18-192.168.100.1-55442-53-17,192.168.100.18,55442,192.168.100.1,53,17,17/05/2026 10:02:04 pm,8096,1,1,34.0,142.0,34.0,34.0,34.0,0.0,142.0,142.0,142.0,0.0,21739.130434782608,247.03557312252963,8096.0,0.0,8096.0,8096.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,123.51778656126481,123.51778656126481,34.0,142.0,70.0,62.353829072479584,3888.0,0,0,0,0,0,0,0,0,1.0,105.0,34.0,142.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.100.18-35.190.88.7-36984-443-6,192.168.100.18,36984,35.190.88.7,443,6,17/05/2026 10:01:54 pm,132403,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.105397913944548,132403.0,0.0,132403.0,132403.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,7.552698956972274,7.552698956972274,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,592,1044,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.100.18-192.168.100.1-56167-53-17,192.168.100.18,56167,192.168.100.1,53,17,17/05/2026 10:02:04 pm,10946,1,1,38.0,54.0,38.0,38.0,38.0,0.0,54.0,54.0,54.0,0.0,8404.896765941898,182.71514708569342,10946.0,0.0,10946.0,10946.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,91.35757354284671,91.35757354284671,38.0,54.0,43.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,1.0,65.0,38.0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
